Training epoch 0
[1/500][570/1383]	LossTot: 1319192.7500	LossRec: 1319192.7500
[1/500][580/1383]	LossTot: 1544487.1250	LossRec: 1544487.1250
[1/500][590/1383]	LossTot: 1634834.0000	LossRec: 1634834.0000
[1/500][600/1383]	LossTot: 1461138.5000	LossRec: 1461138.5000
[1/500][610/1383]	LossTot: 1281630.2500	LossRec: 1281630.2500
[1/500][620/1383]	LossTot: 1164320.5000	LossRec: 1164320.5000
[1/500][630/1383]	LossTot: 1159446.3750	LossRec: 1159446.3750
[1/500][640/1383]	LossTot: 1110426.8750	LossRec: 1110426.8750
[1/500][650/1383]	LossTot: 1039913.3750	LossRec: 1039913.3750
[1/500][660/1383]	LossTot: 588230.8750	LossRec: 588230.8750
[1/500][670/1383]	LossTot: 928559.7500	LossRec: 928559.7500
[1/500][680/1383]	LossTot: 473143.6875	LossRec: 473143.6875
[1/500][690/1383]	LossTot: 1696399.7500	LossRec: 1696399.7500
[1/500][700/1383]	LossTot: 1315800.2500	LossRec: 1315800.2500
[1/500][710/1383]	LossTot: 1051754.6250	LossRec: 1051754.6250
[1/500][720/1383]	LossTot: 1085499.2500	LossRec: 1085499.2500
[1/500][730/1383]	LossTot: 779989.0000	LossRec: 779989.0000
[1/500][740/1383]	LossTot: 869182.3750	LossRec: 869182.3750
[1/500][750/1383]	LossTot: 2473849.0000	LossRec: 2473849.0000
[1/500][760/1383]	LossTot: 1510688.1250	LossRec: 1510688.1250
[1/500][770/1383]	LossTot: 6265490.0000	LossRec: 6265490.0000
[1/500][780/1383]	LossTot: 9248284.0000	LossRec: 9248284.0000
[1/500][790/1383]	LossTot: 3568201.0000	LossRec: 3568201.0000
[1/500][800/1383]	LossTot: 1209662.7500	LossRec: 1209662.7500
[1/500][810/1383]	LossTot: 1108994.5000	LossRec: 1108994.5000
[1/500][820/1383]	LossTot: 1021929.8750	LossRec: 1021929.8750
[1/500][830/1383]	LossTot: 808879.6875	LossRec: 808879.6875
[1/500][840/1383]	LossTot: 704522.5000	LossRec: 704522.5000
[1/500][850/1383]	LossTot: 942882.6250	LossRec: 942882.6250
[1/500][860/1383]	LossTot: 6089896.5000	LossRec: 6089896.5000
[1/500][870/1383]	LossTot: 3718591.0000	LossRec: 3718591.0000
[1/500][880/1383]	LossTot: 2257155.0000	LossRec: 2257155.0000
[1/500][890/1383]	LossTot: 2978666.2500	LossRec: 2978666.2500
[1/500][900/1383]	LossTot: 870422.8750	LossRec: 870422.8750
[1/500][910/1383]	LossTot: 930362.7500	LossRec: 930362.7500
